state,state_abbr,gas_price,date,source
National Average,US,4.459,2026-05-27,AAA Fuel Prices https://gasprices.aaa.com/
Alabama,AL,4.084,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
Arizona,AZ,4.767,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
Arkansas,AR,4.040,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
California,CA,6.094,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
Colorado,CO,4.574,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
Connecticut,CT,4.604,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
Delaware,DE,4.269,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
District of Columbia,DC,4.638,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
Florida,FL,4.269,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
Georgia,GA,3.958,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
Idaho,ID,4.667,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
Illinois,IL,4.903,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
Indiana,IN,3.858,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
Iowa,IA,4.115,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
Kansas,KS,4.035,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
Kentucky,KY,4.213,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
Louisiana,LA,3.978,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
Maine,ME,4.471,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
Maryland,MD,4.335,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
Massachusetts,MA,4.465,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
Michigan,MI,4.570,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
Minnesota,MN,4.268,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
Mississippi,MS,3.950,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
Missouri,MO,4.133,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
Montana,MT,4.566,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
Nebraska,NE,4.234,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
Nevada,NV,5.243,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
New Hampshire,NH,4.446,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
New Jersey,NJ,4.478,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
New Mexico,NM,4.300,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
New York,NY,4.584,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
North Carolina,NC,4.114,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
North Dakota,ND,4.117,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
Ohio,OH,4.566,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
Oklahoma,OK,3.959,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
Oregon,OR,5.290,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
Pennsylvania,PA,4.579,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
Rhode Island,RI,4.426,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
South Carolina,SC,4.058,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
South Dakota,SD,4.265,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
Tennessee,TN,4.095,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
Texas,TX,3.962,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
Utah,UT,4.637,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
Vermont,VT,4.527,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
Virginia,VA,4.333,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
Washington,WA,5.752,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
West Virginia,WV,4.446,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
Wisconsin,WI,4.330,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
Wyoming,WY,4.508,2026-05-27,AAA Fuel Prices State Gas Price Averages https://gasprices.aaa.com/state-gas-price-averages/
